voie;name;name_norm;last_word_norm;ways
BRETELLE;Bretelle de l'Oie;DE L OIE;OIE;182402585
BRETELLE;Bretelle des Trois Chataigniers;DES TROIS CHATAIGNIERS;CHATAIGNIERS;182402586
;By-Pass de l'Étang;BY PASS DE L ETANG;ETANG;182402587
CHEMIN RURAL;Chemin Rural de la Chênelière au Bois Goulard;DE LA CHENELIERE AU BOIS GOULARD;GOULARD;182402595
CHEMIN RURAL;Chemin Rural de la Maisonnette;DE LA MAISONNETTE;MAISONNETTE;182402596
CHEMIN RURAL;Chemin Rural de la Potence;DE LA POTENCE;POTENCE;182402597,182402598
CHEMIN RURAL;Chemin Rural des Sorinières;DES SORINIERES;SORINIERES;182402599
CHEMIN RURAL;Chemin Rural du Canal;DU CANAL;CANAL;182402600
CHEMIN RURAL;Chemin Rural du Gât Pinard;DU GAT PINARD;PINARD;182402601,182402602
CHEMIN RURAL;Chemin Rural du Menomblet au Chemin du Pâtis;DU MENOMBLET AU CHEMIN DU PATIS;PATIS;182402603
CHEMIN RURAL;Chemin Rural du Parquet;DU PARQUET;PARQUET;182402604
CHEMIN RURAL;Chemin Rural du Petit Beugnon aux Deux Bois;DU PETIT BEUGNON AUX DEUX BOIS;BOIS;182402605
CHEMIN RURAL;Chemin Rural du Pont Tenaillé au Vieilles Maisons;DU PONT TENAILLE AU VIEILLES MAISONS;MAISONS;182402608,260314912,260314913
CHEMIN;Chemin d'Exploitation de Parthenay;D EXPLOITATION DE PARTHENAY;PARTHENAY;182402609
CHEMIN;Chemin d'Exploitation de Velaudin ou des Prés Bourus;D EXPLOITATION DE VELAUDIN OU DES PRES BOURUS;BOURUS;182402610
CHEMIN;Chemin d'Exploitation de l'Ouche du Noyer;D EXPLOITATION DE L OUCHE DU NOYER;NOYER;182402612
CHEMIN;Chemin d'Exploitation de la Coudre;D EXPLOITATION DE LA COUDRE;COUDRE;182402614
CHEMIN;Chemin d'Exploitation de la Cure;D EXPLOITATION DE LA CURE;CURE;182402616
CHEMIN;Chemin d'Exploitation de la Fraire;D EXPLOITATION DE LA FRAIRE;FRAIRE;182402618
CHEMIN;Chemin d'Exploitation de la Gasse;D EXPLOITATION DE LA GASSE;GASSE;182402619
CHEMIN;Chemin d'Exploitation de la Petrie;D EXPLOITATION DE LA PETRIE;PETRIE;182402620
CHEMIN;Chemin d'Exploitation de la Taillée;D EXPLOITATION DE LA TAILLEE;TAILLEE;182402621
CHEMIN;Chemin d'Exploitation de la Tièrcerie;D EXPLOITATION DE LA TIERCERIE;TIERCERIE;182402622
CHEMIN;Chemin d'Exploitation de la Tourette à la Fraudière;D EXPLOITATION DE LA TOURETTE A LA FRAUDIERE;FRAUDIERE;182402623
CHEMIN;Chemin d'Exploitation des Bruyères;D EXPLOITATION DES BRUYERES;BRUYERES;182402624
CHEMIN;Chemin d'Exploitation des Champs Prieur;D EXPLOITATION DES CHAMPS PRIEUR;PRIEUR;182402625
CHEMIN;Chemin d'Exploitation des Ecotards;D EXPLOITATION DES ECOTARDS;ECOTARDS;182402626
CHEMIN;Chemin d'Exploitation des Filées;D EXPLOITATION DES FILEES;FILEES;182402627
CHEMIN;Chemin d'Exploitation des Forgeries;D EXPLOITATION DES FORGERIES;FORGERIES;182402628
CHEMIN;Chemin d'Exploitation des Landes;D EXPLOITATION DES LANDES;LANDES;182402629
CHEMIN;Chemin d'Exploitation des Paleines aux Deux Beugnons;D EXPLOITATION DES PALEINES AUX DEUX BEUGNONS;BEUGNONS;182402630
CHEMIN;Chemin d'Exploitation des Perreaux;D EXPLOITATION DES PERREAUX;PERREAUX;182402631,182402632
CHEMIN;Chemin d'Exploitation des Prés Maunic à la Bourdaudières;D EXPLOITATION DES PRES MAUNIC A LA BOURDAUDIERES;BOURDAUDIERES;182402633,182402634
CHEMIN;Chemin d'Exploitation des Prés Renaud;D EXPLOITATION DES PRES RENAUD;RENAUD;182402635
CHEMIN;Chemin d'Exploitation du Champ de la Fontaine;D EXPLOITATION DU CHAMP DE LA FONTAINE;FONTAINE;182402636
CHEMIN;Chemin d'Exploitation du Champ du Bois du Four;D EXPLOITATION DU CHAMP DU BOIS DU FOUR;FOUR;182402637
CHEMIN;Chemin d'Exploitation du Menomblet au Chemin du Chêne du Guet;D EXPLOITATION DU MENOMBLET AU CHEMIN DU CHENE DU GUET;GUET;182402639
CHEMIN;Chemin d'Exploitation du Patureau;D EXPLOITATION DU PATUREAU;PATUREAU;182402640
CHEMIN;Chemin de l'Étang de Maunic;DE L ETANG DE MAUNIC;MAUNIC;254916557
CHEMIN;Chemin de la Statue;DE LA STATUE;STATUE;182402641
CHEMIN;Chemin des Quatre Vents;DES QUATRE VENTS;VENTS;182402642
CHEMIN;Chemin des Vignes;DES VIGNES;VIGNES;182402643
CHEMIN;Chemin du Fief des Brosses;DU FIEF DES BROSSES;BROSSES;182402638
CLOS;Clos de la Chenelière;DE LA CHENELIERE;CHENELIERE;182402644,182402645
IMPASSE;Impasse des Vignes;DES VIGNES;VIGNES;182402646
IMPASSE;Impasse du Lavoir;DU LAVOIR;LAVOIR;295279083
;Jonction des Rouselins;JONCTION DES ROUSELINS;ROUSELINS;182402647
ROUTE;Route des Fiefs;DES FIEFS;FIEFS;182402648
ROUTE;Route des Trois Pierres;DES TROIS PIERRES;PIERRES;182402649
RUE;Rue Ferchault de Réaumur;FERCHAULT DE REAUMUR;REAUMUR;295279097
RUE;Rue Saint-Hubert;SAINT HUBERT;HUBERT;182402650
RUE;Rue de la Chenelière;DE LA CHENELIERE;CHENELIERE;182402651
RUE;Rue des Javelières;DES JAVELIERES;JAVELIERES;171495359
RUE;Rue des Trois Chataigniers;DES TROIS CHATAIGNIERS;CHATAIGNIERS;182402652
RUE;Rue du Coteau;DU COTEAU;COTEAU;295279177
RUE;Rue du Logis;DU LOGIS;LOGIS;121251980
RUE;Rue du Soleil Levant;DU SOLEIL LEVANT;LEVANT;182402653
VENELLE;Venelle de l'Ouche du Noyer;DE L OUCHE DU NOYER;NOYER;182402654
VENELLE;Venelle de la Boisnière;DE LA BOISNIERE;BOISNIERE;182402655
VENELLE;Venelle de la Cave;DE LA CAVE;CAVE;256162088
VENELLE;Venelle des Erondes;DES ERONDES;ERONDES;182402657
VENELLE;Venelle des Essais;DES ESSAIS;ESSAIS;182402658
VENELLE;Venelle des Magnils;DES MAGNILS;MAGNILS;182402659
VENELLE;Venelle des Raffoux;DES RAFFOUX;RAFFOUX;182402660
VENELLE;Venelle des Renaudières;DES RENAUDIERES;RENAUDIERES;182402661
VENELLE;Venelle des Ridaulières;DES RIDAULIERES;RIDAULIERES;182402662
VENELLE;Venelle du Champ Blanc;DU CHAMP BLANC;BLANC;182402663
VENELLE;Venelle du Fief de Parthenay;DU FIEF DE PARTHENAY;PARTHENAY;182402664
VENELLE;Venelle du l'Ouche du Four;DU L OUCHE DU FOUR;FOUR;182402665
VOIE COMMUNALE;Voie Communale de Saint-Germain l'Aiguiller à la Croisée de la Voie Taponnière;DE SAINT GERMAIN L AIGUILLER A LA CROISEE DE LA VOIE TAPONNIERE;TAPONNIERE;182402666
